SAMPLE	TYPE	COUNT
run_15.sample_25	HIGH	618
run_15.sample_25	MODERATE	11096
run_15.sample_25	MODIFIER	12458
run_15.sample_25	LOW	12649
run_15.sample_33	HIGH	657
run_15.sample_33	MODERATE	11274
run_15.sample_33	MODIFIER	12790
run_15.sample_33	LOW	12702
run_15.sample_34	HIGH	712
run_15.sample_34	MODERATE	12450
run_15.sample_34	MODIFIER	14063
run_15.sample_34	LOW	14142
run_15.sample_35	HIGH	726
run_15.sample_35	MODERATE	12439
run_15.sample_35	MODIFIER	14040
run_15.sample_35	LOW	14149
run_15.sample_CH00277	HIGH	618
run_15.sample_CH00277	MODERATE	11290
run_15.sample_CH00277	MODIFIER	11841
run_15.sample_CH00277	LOW	12851
run_15.sample_CH00278	HIGH	630
run_15.sample_CH00278	MODERATE	11327
run_15.sample_CH00278	MODIFIER	12014
run_15.sample_CH00278	LOW	12954
run_15.sample_CH00279	HIGH	647
run_15.sample_CH00279	MODERATE	11541
run_15.sample_CH00279	MODIFIER	12376
run_15.sample_CH00279	LOW	13168
run_15.sample_CH00280	HIGH	1021
run_15.sample_CH00280	MODERATE	11178
run_15.sample_CH00280	MODIFIER	11661
run_15.sample_CH00280	LOW	12563
run_15.sample_CH00281	HIGH	620
run_15.sample_CH00281	MODERATE	11235
run_15.sample_CH00281	MODIFIER	12539
run_15.sample_CH00281	LOW	12652
run_15.sample_CH00282	HIGH	643
run_15.sample_CH00282	MODERATE	11430
run_15.sample_CH00282	MODIFIER	12118
run_15.sample_CH00282	LOW	12993
run_15.sample_CH00283	HIGH	633
run_15.sample_CH00283	MODERATE	11343
run_15.sample_CH00283	MODIFIER	12212
run_15.sample_CH00283	LOW	12903
run_15.sample_CH00284	HIGH	630
run_15.sample_CH00284	MODERATE	11394
run_15.sample_CH00284	MODIFIER	11750
run_15.sample_CH00284	LOW	12889
run_15.sample_CH00285	HIGH	613
run_15.sample_CH00285	MODERATE	11544
run_15.sample_CH00285	MODIFIER	11984
run_15.sample_CH00285	LOW	12783
run_15.sample_CH00286	HIGH	635
run_15.sample_CH00286	MODERATE	11613
run_15.sample_CH00286	MODIFIER	12426
run_15.sample_CH00286	LOW	13153
run_15.sample_CH00287	HIGH	649
run_15.sample_CH00287	MODERATE	11433
run_15.sample_CH00287	MODIFIER	12890
run_15.sample_CH00287	LOW	13010
run_15.sample_CH00288	HIGH	640
run_15.sample_CH00288	MODERATE	11145
run_15.sample_CH00288	MODIFIER	12483
run_15.sample_CH00288	LOW	12628
run_15.sample_CH00291	HIGH	609
run_15.sample_CH00291	MODERATE	11136
run_15.sample_CH00291	MODIFIER	12324
run_15.sample_CH00291	LOW	12566
run_15.sample_CH00292	HIGH	643
run_15.sample_CH00292	MODERATE	11312
run_15.sample_CH00292	MODIFIER	12374
run_15.sample_CH00292	LOW	12567
run_15.sample_CH00293	HIGH	650
run_15.sample_CH00293	MODERATE	11242
run_15.sample_CH00293	MODIFIER	12808
run_15.sample_CH00293	LOW	12944
run_15.sample_CH00294	HIGH	618
run_15.sample_CH00294	MODERATE	11287
run_15.sample_CH00294	MODIFIER	12823
run_15.sample_CH00294	LOW	12839
run_15.sample_CH00295	HIGH	657
run_15.sample_CH00295	MODERATE	11404
run_15.sample_CH00295	MODIFIER	12892
run_15.sample_CH00295	LOW	12796
run_15.sample_CH00296	HIGH	624
run_15.sample_CH00296	MODERATE	11213
run_15.sample_CH00296	MODIFIER	12591
run_15.sample_CH00296	LOW	12724
run_15.sample_CH00297	HIGH	621
run_15.sample_CH00297	MODERATE	11198
run_15.sample_CH00297	MODIFIER	12592
run_15.sample_CH00297	LOW	12827
run_15.sample_CH00298	HIGH	636
run_15.sample_CH00298	MODERATE	11246
run_15.sample_CH00298	MODIFIER	12506
run_15.sample_CH00298	LOW	12765
run_15.sample_CH00323	HIGH	659
run_15.sample_CH00323	MODERATE	11473
run_15.sample_CH00323	MODIFIER	12500
run_15.sample_CH00323	LOW	12754
run_15.sample_CH00324	HIGH	626
run_15.sample_CH00324	MODERATE	11062
run_15.sample_CH00324	MODIFIER	12153
run_15.sample_CH00324	LOW	12610
run_15.sample_CH00325	HIGH	596
run_15.sample_CH00325	MODERATE	11064
run_15.sample_CH00325	MODIFIER	12236
run_15.sample_CH00325	LOW	12588
run_15.sample_CH00326	HIGH	588
run_15.sample_CH00326	MODERATE	11162
run_15.sample_CH00326	MODIFIER	12350
run_15.sample_CH00326	LOW	12645
run_15.sample_CH00327	HIGH	613
run_15.sample_CH00327	MODERATE	11230
run_15.sample_CH00327	MODIFIER	12333
run_15.sample_CH00327	LOW	12549
run_15.sample_CH00328	HIGH	598
run_15.sample_CH00328	MODERATE	11045
run_15.sample_CH00328	MODIFIER	12510
run_15.sample_CH00328	LOW	12552
run_15.sample_CH00329	HIGH	641
run_15.sample_CH00329	MODERATE	11355
run_15.sample_CH00329	MODIFIER	12656
run_15.sample_CH00329	LOW	12877
run_15.sample_CH00330	HIGH	616
run_15.sample_CH00330	MODERATE	11253
run_15.sample_CH00330	MODIFIER	12339
run_15.sample_CH00330	LOW	12882
run_16.sample_BR21	HIGH	139
run_16.sample_BR21	MODERATE	3000
run_16.sample_BR21	MODIFIER	863
run_16.sample_BR21	LOW	4352
run_16.sample_BR55	HIGH	142
run_16.sample_BR55	MODERATE	3072
run_16.sample_BR55	MODIFIER	826
run_16.sample_BR55	LOW	4344
run_16.sample_BR59	HIGH	150
run_16.sample_BR59	MODERATE	3030
run_16.sample_BR59	MODIFIER	885
run_16.sample_BR59	LOW	4389
run_16.sample_BR60	HIGH	130
run_16.sample_BR60	MODERATE	3117
run_16.sample_BR60	MODIFIER	824
run_16.sample_BR60	LOW	4386
run_16.sample_BR63	HIGH	143
run_16.sample_BR63	MODERATE	2998
run_16.sample_BR63	MODIFIER	844
run_16.sample_BR63	LOW	4433
run_16.sample_BR64	HIGH	137
run_16.sample_BR64	MODERATE	3047
run_16.sample_BR64	MODIFIER	846
run_16.sample_BR64	LOW	4415
run_16.sample_BR69	HIGH	135
run_16.sample_BR69	MODERATE	2985
run_16.sample_BR69	MODIFIER	800
run_16.sample_BR69	LOW	4412
run_19.sample_2016CH00314BLD001A1	HIGH	135
run_19.sample_2016CH00314BLD001A1	MODERATE	3039
run_19.sample_2016CH00314BLD001A1	MODIFIER	873
run_19.sample_2016CH00314BLD001A1	LOW	4423
run_19.sample_2016CH00315BLD001A1	HIGH	122
run_19.sample_2016CH00315BLD001A1	MODERATE	2924
run_19.sample_2016CH00315BLD001A1	MODIFIER	873
run_19.sample_2016CH00315BLD001A1	LOW	4226
run_19.sample_2016CH00316BLD001A1	HIGH	122
run_19.sample_2016CH00316BLD001A1	MODERATE	2855
run_19.sample_2016CH00316BLD001A1	MODIFIER	911
run_19.sample_2016CH00316BLD001A1	LOW	4190
run_19.sample_2016CH00317BLD001A1	HIGH	139
run_19.sample_2016CH00317BLD001A1	MODERATE	3039
run_19.sample_2016CH00317BLD001A1	MODIFIER	920
run_19.sample_2016CH00317BLD001A1	LOW	4431
run_19.sample_2016CH00318BLD001A1	HIGH	128
run_19.sample_2016CH00318BLD001A1	MODERATE	3033
run_19.sample_2016CH00318BLD001A1	MODIFIER	913
run_19.sample_2016CH00318BLD001A1	LOW	4489
run_19.sample_2016CH00319BLD001A1	HIGH	124
run_19.sample_2016CH00319BLD001A1	MODERATE	3045
run_19.sample_2016CH00319BLD001A1	MODIFIER	920
run_19.sample_2016CH00319BLD001A1	LOW	4413
run_19.sample_2016CH00320BLD001A1	HIGH	124
run_19.sample_2016CH00320BLD001A1	MODERATE	3124
run_19.sample_2016CH00320BLD001A1	MODIFIER	942
run_19.sample_2016CH00320BLD001A1	LOW	4483
run_19.sample_2016CH00321BLD001A1	HIGH	139
run_19.sample_2016CH00321BLD001A1	MODERATE	3025
run_19.sample_2016CH00321BLD001A1	MODIFIER	921
run_19.sample_2016CH00321BLD001A1	LOW	4394
run_19.sample_2016CH00322BLD001A1	HIGH	151
run_19.sample_2016CH00322BLD001A1	MODERATE	3037
run_19.sample_2016CH00322BLD001A1	MODIFIER	917
run_19.sample_2016CH00322BLD001A1	LOW	4378
run_19.sample_2016CH00334BLD001A1	HIGH	154
run_19.sample_2016CH00334BLD001A1	MODERATE	3031
run_19.sample_2016CH00334BLD001A1	MODIFIER	925
run_19.sample_2016CH00334BLD001A1	LOW	4433
run_2.sample_79	HIGH	639
run_2.sample_79	MODERATE	11234
run_2.sample_79	MODIFIER	13852
run_2.sample_79	LOW	13780
run_2.sample_80	HIGH	619
run_2.sample_80	MODERATE	11166
run_2.sample_80	MODIFIER	13933
run_2.sample_80	LOW	13803
run_20.sample_CH00289	HIGH	629
run_20.sample_CH00289	MODERATE	11342
run_20.sample_CH00289	MODIFIER	12876
run_20.sample_CH00289	LOW	13072
run_20.sample_CH00308	HIGH	633
run_20.sample_CH00308	MODERATE	11382
run_20.sample_CH00308	MODIFIER	12984
run_20.sample_CH00308	LOW	12946
run_20.sample_CH00309	HIGH	628
run_20.sample_CH00309	MODERATE	11280
run_20.sample_CH00309	MODIFIER	12849
run_20.sample_CH00309	LOW	12944
run_20.sample_CH00310	HIGH	627
run_20.sample_CH00310	MODERATE	11433
run_20.sample_CH00310	MODIFIER	12892
run_20.sample_CH00310	LOW	13092
run_20.sample_CH00311	HIGH	646
run_20.sample_CH00311	MODERATE	11370
run_20.sample_CH00311	MODIFIER	12697
run_20.sample_CH00311	LOW	12860
run_20.sample_CH00532	HIGH	660
run_20.sample_CH00532	MODERATE	11249
run_20.sample_CH00532	MODIFIER	12707
run_20.sample_CH00532	LOW	12806
run_20.sample_CH00533	HIGH	632
run_20.sample_CH00533	MODERATE	11371
run_20.sample_CH00533	MODIFIER	13188
run_20.sample_CH00533	LOW	13095
run_20.sample_CH00632	HIGH	676
run_20.sample_CH00632	MODERATE	11535
run_20.sample_CH00632	MODIFIER	12988
run_20.sample_CH00632	LOW	12950
run_21.sample_CH00290	HIGH	621
run_21.sample_CH00290	MODERATE	11303
run_21.sample_CH00290	MODIFIER	12712
run_21.sample_CH00290	LOW	12937
run_21.sample_CH00299	HIGH	632
run_21.sample_CH00299	MODERATE	11291
run_21.sample_CH00299	MODIFIER	12501
run_21.sample_CH00299	LOW	12837
run_21.sample_CH00300	HIGH	595
run_21.sample_CH00300	MODERATE	10905
run_21.sample_CH00300	MODIFIER	12067
run_21.sample_CH00300	LOW	12502
run_21.sample_CH00301	HIGH	615
run_21.sample_CH00301	MODERATE	11272
run_21.sample_CH00301	MODIFIER	12464
run_21.sample_CH00301	LOW	12694
run_21.sample_CH00302	HIGH	639
run_21.sample_CH00302	MODERATE	11243
run_21.sample_CH00302	MODIFIER	12514
run_21.sample_CH00302	LOW	12621
run_21.sample_CH00303	HIGH	602
run_21.sample_CH00303	MODERATE	10945
run_21.sample_CH00303	MODIFIER	12206
run_21.sample_CH00303	LOW	12559
run_21.sample_CH00304	HIGH	627
run_21.sample_CH00304	MODERATE	11415
run_21.sample_CH00304	MODIFIER	12670
run_21.sample_CH00304	LOW	13262
run_21.sample_CH00305	HIGH	579
run_21.sample_CH00305	MODERATE	11175
run_21.sample_CH00305	MODIFIER	12482
run_21.sample_CH00305	LOW	12666
run_21.sample_CH00306	HIGH	598
run_21.sample_CH00306	MODERATE	11115
run_21.sample_CH00306	MODIFIER	12470
run_21.sample_CH00306	LOW	12660
run_21.sample_CH00307	HIGH	665
run_21.sample_CH00307	MODERATE	11302
run_21.sample_CH00307	MODIFIER	12637
run_21.sample_CH00307	LOW	12985
run_22.sample_BR0451	HIGH	114
run_22.sample_BR0451	MODERATE	2633
run_22.sample_BR0451	MODIFIER	754
run_22.sample_BR0451	LOW	3946
run_22.sample_BR0722	HIGH	93
run_22.sample_BR0722	MODERATE	2429
run_22.sample_BR0722	MODIFIER	674
run_22.sample_BR0722	LOW	3550
run_22.sample_BR0733	HIGH	106
run_22.sample_BR0733	MODERATE	2523
run_22.sample_BR0733	MODIFIER	730
run_22.sample_BR0733	LOW	3754
run_22.sample_BR0744	HIGH	94
run_22.sample_BR0744	MODERATE	2536
run_22.sample_BR0744	MODIFIER	751
run_22.sample_BR0744	LOW	3655
run_22.sample_BR0755	HIGH	128
run_22.sample_BR0755	MODERATE	2620
run_22.sample_BR0755	MODIFIER	740
run_22.sample_BR0755	LOW	3847
run_22.sample_BR0766	HIGH	112
run_22.sample_BR0766	MODERATE	2366
run_22.sample_BR0766	MODIFIER	641
run_22.sample_BR0766	LOW	3568
run_22.sample_BR0797	HIGH	102
run_22.sample_BR0797	MODERATE	2501
run_22.sample_BR0797	MODIFIER	720
run_22.sample_BR0797	LOW	3584
run_22.sample_BR0828	HIGH	110
run_22.sample_BR0828	MODERATE	2410
run_22.sample_BR0828	MODIFIER	703
run_22.sample_BR0828	LOW	3573
run_22.sample_BR0839	HIGH	109
run_22.sample_BR0839	MODERATE	2512
run_22.sample_BR0839	MODIFIER	728
run_22.sample_BR0839	LOW	3744
run_24.sample_15913291	HIGH	116
run_24.sample_15913291	MODERATE	2599
run_24.sample_15913291	MODIFIER	774
run_24.sample_15913291	LOW	3775
run_3.sample_116	HIGH	614
run_3.sample_116	MODERATE	11122
run_3.sample_116	MODIFIER	12510
run_3.sample_116	LOW	12679
run_3.sample_153	HIGH	623
run_3.sample_153	MODERATE	11553
run_3.sample_153	MODIFIER	12804
run_3.sample_153	LOW	12830
run_3.sample_163	HIGH	633
run_3.sample_163	MODERATE	11241
run_3.sample_163	MODIFIER	12895
run_3.sample_163	LOW	13152
run_3.sample_164	HIGH	658
run_3.sample_164	MODERATE	11480
run_3.sample_164	MODIFIER	12995
run_3.sample_164	LOW	13206
run_3.sample_165	HIGH	645
run_3.sample_165	MODERATE	11200
run_3.sample_165	MODIFIER	12730
run_3.sample_165	LOW	13027
run_3.sample_166	HIGH	621
run_3.sample_166	MODERATE	11221
run_3.sample_166	MODIFIER	13096
run_3.sample_166	LOW	12971
run_3.sample_167	HIGH	638
run_3.sample_167	MODERATE	11445
run_3.sample_167	MODIFIER	12816
run_3.sample_167	LOW	12773
run_3.sample_168	HIGH	630
run_3.sample_168	MODERATE	11200
run_3.sample_168	MODIFIER	12785
run_3.sample_168	LOW	12655
run_3.sample_93	HIGH	620
run_3.sample_93	MODERATE	10951
run_3.sample_93	MODIFIER	12413
run_3.sample_93	LOW	12840
run_3.sample_94	HIGH	611
run_3.sample_94	MODERATE	11068
run_3.sample_94	MODIFIER	12591
run_3.sample_94	LOW	12656
run_4.sample_113	HIGH	595
run_4.sample_113	MODERATE	11140
run_4.sample_113	MODIFIER	12335
run_4.sample_113	LOW	12666
run_4.sample_114	HIGH	617
run_4.sample_114	MODERATE	11062
run_4.sample_114	MODIFIER	12204
run_4.sample_114	LOW	12668
run_4.sample_117	HIGH	585
run_4.sample_117	MODERATE	10756
run_4.sample_117	MODIFIER	12097
run_4.sample_117	LOW	12300
run_4.sample_118	HIGH	593
run_4.sample_118	MODERATE	10931
run_4.sample_118	MODIFIER	12245
run_4.sample_118	LOW	12486
run_4.sample_158	HIGH	575
run_4.sample_158	MODERATE	10649
run_4.sample_158	MODIFIER	11598
run_4.sample_158	LOW	12171
run_4.sample_169	HIGH	564
run_4.sample_169	MODERATE	10752
run_4.sample_169	MODIFIER	11766
run_4.sample_169	LOW	12245
run_4.sample_170	HIGH	525
run_4.sample_170	MODERATE	10543
run_4.sample_170	MODIFIER	11464
run_4.sample_170	LOW	11975
run_4.sample_185	HIGH	568
run_4.sample_185	MODERATE	10565
run_4.sample_185	MODIFIER	11206
run_4.sample_185	LOW	12013
run_4.sample_197	HIGH	584
run_4.sample_197	MODERATE	11049
run_4.sample_197	MODIFIER	12301
run_4.sample_197	LOW	12483
run_4.sample_198	HIGH	614
run_4.sample_198	MODERATE	10939
run_4.sample_198	MODIFIER	12298
run_4.sample_198	LOW	12444
run_4.sample_199	HIGH	540
run_4.sample_199	MODERATE	10621
run_4.sample_199	MODIFIER	11770
run_4.sample_199	LOW	12046
run_5.sample_120	HIGH	652
run_5.sample_120	MODERATE	11242
run_5.sample_120	MODIFIER	13925
run_5.sample_120	LOW	13762
run_5.sample_121	HIGH	597
run_5.sample_121	MODERATE	10868
run_5.sample_121	MODIFIER	13622
run_5.sample_121	LOW	13545
run_5.sample_122	HIGH	654
run_5.sample_122	MODERATE	11432
run_5.sample_122	MODIFIER	14000
run_5.sample_122	LOW	14023
run_5.sample_226	HIGH	644
run_5.sample_226	MODERATE	11267
run_5.sample_226	MODIFIER	13732
run_5.sample_226	LOW	13705
run_5.sample_232	HIGH	637
run_5.sample_232	MODERATE	11017
run_5.sample_232	MODIFIER	13661
run_5.sample_232	LOW	13679
run_5.sample_411	HIGH	610
run_5.sample_411	MODERATE	10692
run_5.sample_411	MODIFIER	13462
run_5.sample_411	LOW	13334
run_6.sample_233	HIGH	652
run_6.sample_233	MODERATE	11063
run_6.sample_233	MODIFIER	13752
run_6.sample_233	LOW	13588
run_6.sample_256	HIGH	606
run_6.sample_256	MODERATE	11043
run_6.sample_256	MODIFIER	13620
run_6.sample_256	LOW	13643
run_6.sample_257	HIGH	630
run_6.sample_257	MODERATE	11073
run_6.sample_257	MODIFIER	13596
run_6.sample_257	LOW	13639
run_6.sample_258	HIGH	636
run_6.sample_258	MODERATE	11175
run_6.sample_258	MODIFIER	13731
run_6.sample_258	LOW	13682
run_6.sample_259	HIGH	612
run_6.sample_259	MODERATE	10976
run_6.sample_259	MODIFIER	13592
run_6.sample_259	LOW	13577
run_6.sample_260	HIGH	640
run_6.sample_260	MODERATE	11162
run_6.sample_260	MODIFIER	13736
run_6.sample_260	LOW	13619
run_6.sample_261	HIGH	617
run_6.sample_261	MODERATE	11120
run_6.sample_261	MODIFIER	13659
run_6.sample_261	LOW	13626
run_6.sample_265	HIGH	652
run_6.sample_265	MODERATE	10929
run_6.sample_265	MODIFIER	13550
run_6.sample_265	LOW	13751
run_6.sample_266	HIGH	625
run_6.sample_266	MODERATE	10935
run_6.sample_266	MODIFIER	13451
run_6.sample_266	LOW	13415
run_6.sample_267	HIGH	617
run_6.sample_267	MODERATE	10984
run_6.sample_267	MODIFIER	13629
run_6.sample_267	LOW	13394
run_6.sample_279	HIGH	628
run_6.sample_279	MODERATE	10906
run_6.sample_279	MODIFIER	13734
run_6.sample_279	LOW	13528
run_6.sample_302	HIGH	613
run_6.sample_302	MODERATE	11081
run_6.sample_302	MODIFIER	13569
run_6.sample_302	LOW	13596
run_6.sample_377	HIGH	651
run_6.sample_377	MODERATE	11319
run_6.sample_377	MODIFIER	13584
run_6.sample_377	LOW	13599
run_6.sample_378	HIGH	622
run_6.sample_378	MODERATE	10931
run_6.sample_378	MODIFIER	13381
run_6.sample_378	LOW	13363
run_6.sample_379	HIGH	598
run_6.sample_379	MODERATE	11047
run_6.sample_379	MODIFIER	13650
run_6.sample_379	LOW	13479
run_6.sample_398	HIGH	628
run_6.sample_398	MODERATE	10971
run_6.sample_398	MODIFIER	13684
run_6.sample_398	LOW	13567
run_7.sample_119	HIGH	618
run_7.sample_119	MODERATE	10951
run_7.sample_119	MODIFIER	13615
run_7.sample_119	LOW	13472
run_7.sample_126	HIGH	612
run_7.sample_126	MODERATE	10811
run_7.sample_126	MODIFIER	13391
run_7.sample_126	LOW	13411
run_7.sample_127	HIGH	623
run_7.sample_127	MODERATE	10931
run_7.sample_127	MODIFIER	13477
run_7.sample_127	LOW	13605
run_7.sample_128	HIGH	596
run_7.sample_128	MODERATE	10810
run_7.sample_128	MODIFIER	13252
run_7.sample_128	LOW	13373
run_7.sample_133	HIGH	619
run_7.sample_133	MODERATE	10819
run_7.sample_133	MODIFIER	13208
run_7.sample_133	LOW	13399
run_7.sample_134	HIGH	624
run_7.sample_134	MODERATE	10872
run_7.sample_134	MODIFIER	13618
run_7.sample_134	LOW	13523
run_7.sample_135	HIGH	592
run_7.sample_135	MODERATE	10795
run_7.sample_135	MODIFIER	13213
run_7.sample_135	LOW	13395
run_7.sample_172	HIGH	634
run_7.sample_172	MODERATE	10887
run_7.sample_172	MODIFIER	13310
run_7.sample_172	LOW	13376
run_7.sample_176	HIGH	624
run_7.sample_176	MODERATE	10942
run_7.sample_176	MODIFIER	13409
run_7.sample_176	LOW	13284
run_7.sample_190	HIGH	603
run_7.sample_190	MODERATE	11090
run_7.sample_190	MODIFIER	13807
run_7.sample_190	LOW	13690
run_7.sample_191	HIGH	619
run_7.sample_191	MODERATE	11017
run_7.sample_191	MODIFIER	13599
run_7.sample_191	LOW	13567
run_7.sample_192	HIGH	609
run_7.sample_192	MODERATE	11063
run_7.sample_192	MODIFIER	13653
run_7.sample_192	LOW	13473
run_7.sample_303	HIGH	606
run_7.sample_303	MODERATE	10880
run_7.sample_303	MODIFIER	13239
run_7.sample_303	LOW	13417
run_7.sample_318	HIGH	612
run_7.sample_318	MODERATE	11030
run_7.sample_318	MODIFIER	13537
run_7.sample_318	LOW	13647
run_7.sample_345	HIGH	635
run_7.sample_345	MODERATE	10989
run_7.sample_345	MODIFIER	13628
run_7.sample_345	LOW	13449
run_7.sample_443	HIGH	669
run_7.sample_443	MODERATE	10983
run_7.sample_443	MODIFIER	13598
run_7.sample_443	LOW	13438
run_8.sample_013	HIGH	633
run_8.sample_013	MODERATE	11274
run_8.sample_013	MODIFIER	12746
run_8.sample_013	LOW	12876
run_8.sample_014	HIGH	627
run_8.sample_014	MODERATE	11208
run_8.sample_014	MODIFIER	12579
run_8.sample_014	LOW	12765
run_8.sample_144	HIGH	607
run_8.sample_144	MODERATE	11291
run_8.sample_144	MODIFIER	12807
run_8.sample_144	LOW	13045
run_8.sample_149	HIGH	594
run_8.sample_149	MODERATE	11169
run_8.sample_149	MODIFIER	12708
run_8.sample_149	LOW	12801
run_8.sample_156	HIGH	644
run_8.sample_156	MODERATE	11261
run_8.sample_156	MODIFIER	12581
run_8.sample_156	LOW	12870
run_8.sample_171	HIGH	585
run_8.sample_171	MODERATE	10723
run_8.sample_171	MODIFIER	11619
run_8.sample_171	LOW	12358
run_8.sample_193	HIGH	574
run_8.sample_193	MODERATE	11225
run_8.sample_193	MODIFIER	12022
run_8.sample_193	LOW	12885
run_8.sample_194	HIGH	563
run_8.sample_194	MODERATE	10931
run_8.sample_194	MODIFIER	12105
run_8.sample_194	LOW	12647
run_8.sample_195	HIGH	565
run_8.sample_195	MODERATE	10816
run_8.sample_195	MODIFIER	12035
run_8.sample_195	LOW	12461
run_8.sample_196	HIGH	552
run_8.sample_196	MODERATE	10963
run_8.sample_196	MODIFIER	11863
run_8.sample_196	LOW	12656
run_8.sample_215	HIGH	584
run_8.sample_215	MODERATE	11009
run_8.sample_215	MODIFIER	12246
run_8.sample_215	LOW	12534
run_8.sample_224	HIGH	618
run_8.sample_224	MODERATE	10811
run_8.sample_224	MODIFIER	12229
run_8.sample_224	LOW	12400
run_8.sample_268	HIGH	598
run_8.sample_268	MODERATE	10994
run_8.sample_268	MODIFIER	12055
run_8.sample_268	LOW	12500
run_8.sample_269	HIGH	612
run_8.sample_269	MODERATE	11039
run_8.sample_269	MODIFIER	12561
run_8.sample_269	LOW	12765
run_8.sample_270	HIGH	576
run_8.sample_270	MODERATE	10895
run_8.sample_270	MODIFIER	12647
run_8.sample_270	LOW	12633
run_8.sample_293	HIGH	604
run_8.sample_293	MODERATE	11184
run_8.sample_293	MODIFIER	12362
run_8.sample_293	LOW	12709
run_8.sample_392	HIGH	594
run_8.sample_392	MODERATE	10793
run_8.sample_392	MODIFIER	12244
run_8.sample_392	LOW	12358
run_8.sample_399	HIGH	599
run_8.sample_399	MODERATE	11266
run_8.sample_399	MODIFIER	12537
run_8.sample_399	LOW	12848
run_8.sample_400	HIGH	610
run_8.sample_400	MODERATE	11234
run_8.sample_400	MODIFIER	12594
run_8.sample_400	LOW	12669
run_8.sample_406	HIGH	597
run_8.sample_406	MODERATE	11025
run_8.sample_406	MODIFIER	11766
run_8.sample_406	LOW	12339
run_8.sample_407	HIGH	582
run_8.sample_407	MODERATE	10894
run_8.sample_407	MODIFIER	11735
run_8.sample_407	LOW	12465
run_8.sample_408	HIGH	605
run_8.sample_408	MODERATE	10975
run_8.sample_408	MODIFIER	12195
run_8.sample_408	LOW	12665
run_8.sample_409	HIGH	618
run_8.sample_409	MODERATE	11278
run_8.sample_409	MODIFIER	12544
run_8.sample_409	LOW	12766
run_8.sample_410	HIGH	595
run_8.sample_410	MODERATE	11083
run_8.sample_410	MODIFIER	12549
run_8.sample_410	LOW	12869
run_8.sample_414	HIGH	528
run_8.sample_414	MODERATE	10734
run_8.sample_414	MODIFIER	12099
run_8.sample_414	LOW	12550
run_8.sample_415	HIGH	590
run_8.sample_415	MODERATE	10811
run_8.sample_415	MODIFIER	11933
run_8.sample_415	LOW	12226
run_8.sample_422	HIGH	586
run_8.sample_422	MODERATE	10792
run_8.sample_422	MODIFIER	11439
run_8.sample_422	LOW	12337
run_8.sample_424	HIGH	601
run_8.sample_424	MODERATE	11295
run_8.sample_424	MODIFIER	12233
run_8.sample_424	LOW	13083
run_8.sample_425	HIGH	600
run_8.sample_425	MODERATE	10895
run_8.sample_425	MODIFIER	12056
run_8.sample_425	LOW	12585
run_8.sample_426	HIGH	563
run_8.sample_426	MODERATE	11092
run_8.sample_426	MODIFIER	12095
run_8.sample_426	LOW	12791
run_8.sample_427	HIGH	588
run_8.sample_427	MODERATE	10799
run_8.sample_427	MODIFIER	12212
run_8.sample_427	LOW	12539
run_8.sample_432	HIGH	579
run_8.sample_432	MODERATE	11232
run_8.sample_432	MODIFIER	12416
run_8.sample_432	LOW	12891
run_8.sample_433	HIGH	584
run_8.sample_433	MODERATE	11046
run_8.sample_433	MODIFIER	12073
run_8.sample_433	LOW	12547
run_8.sample_434	HIGH	609
run_8.sample_434	MODERATE	11368
run_8.sample_434	MODIFIER	12700
run_8.sample_434	LOW	12953
run_8.sample_440	HIGH	580
run_8.sample_440	MODERATE	11165
run_8.sample_440	MODIFIER	12426
run_8.sample_440	LOW	12744
run_8.sample_458	HIGH	597
run_8.sample_458	MODERATE	11299
run_8.sample_458	MODIFIER	12637
run_8.sample_458	LOW	12868
run_8.sample_460	HIGH	629
run_8.sample_460	MODERATE	11133
run_8.sample_460	MODIFIER	12485
run_8.sample_460	LOW	12793
run_8.sample_461	HIGH	605
run_8.sample_461	MODERATE	11158
run_8.sample_461	MODIFIER	12397
run_8.sample_461	LOW	12651
run_8.sample_462	HIGH	595
run_8.sample_462	MODERATE	10914
run_8.sample_462	MODIFIER	12116
run_8.sample_462	LOW	12601
run_8.sample_474	HIGH	621
run_8.sample_474	MODERATE	11190
run_8.sample_474	MODIFIER	12279
run_8.sample_474	LOW	12894
run_8.sample_504	HIGH	587
run_8.sample_504	MODERATE	11121
run_8.sample_504	MODIFIER	12539
run_8.sample_504	LOW	12802
run_8.sample_510	HIGH	579
run_8.sample_510	MODERATE	11100
run_8.sample_510	MODIFIER	12332
run_8.sample_510	LOW	12637
run_8.sample_511	HIGH	587
run_8.sample_511	MODERATE	11016
run_8.sample_511	MODIFIER	12396
run_8.sample_511	LOW	12724
run_8.sample_520	HIGH	598
run_8.sample_520	MODERATE	10906
run_8.sample_520	MODIFIER	12302
run_8.sample_520	LOW	12442
run_8.sample_529	HIGH	587
run_8.sample_529	MODERATE	10893
run_8.sample_529	MODIFIER	12250
run_8.sample_529	LOW	12390
run_8.sample_548	HIGH	583
run_8.sample_548	MODERATE	10989
run_8.sample_548	MODIFIER	12327
run_8.sample_548	LOW	12608
run_9.sample_S01	HIGH	566
run_9.sample_S01	MODERATE	10902
run_9.sample_S01	MODIFIER	11971
run_9.sample_S01	LOW	12524
run_9.sample_S02	HIGH	582
run_9.sample_S02	MODERATE	10953
run_9.sample_S02	MODIFIER	12111
run_9.sample_S02	LOW	12539
