SAMPLE	TYPE	COUNT
SBR210	MODIFIER	13699
SBR210	LOW	13567
SBR214	HIGH	686
SBR214	MODERATE	11284
SBR214	MODIFIER	14210
SBR214	LOW	13802
SBR217	HIGH	597
SBR217	MODERATE	10999
SBR217	MODIFIER	13308
SBR217	LOW	13384
SBR218	HIGH	574
SBR218	MODERATE	10907
SBR218	MODIFIER	13313
SBR218	LOW	13318
SBR219	HIGH	628
SBR219	MODERATE	11038
SBR219	MODIFIER	13522
SBR219	LOW	13481
SBR220	HIGH	659
SBR220	MODERATE	11288
SBR220	MODIFIER	13581
SBR220	LOW	13643
SBR221	HIGH	597
SBR221	MODERATE	10950
SBR221	MODIFIER	13739
SBR221	LOW	13417
SBR222	HIGH	655
SBR222	MODERATE	11039
SBR222	MODIFIER	13653
SBR222	LOW	13750
SBR223	HIGH	615
SBR223	MODERATE	11007
SBR223	MODIFIER	13666
SBR223	LOW	13524
SBR224	HIGH	638
SBR224	MODERATE	11108
SBR224	MODIFIER	13473
SBR224	LOW	13545
SBR225	HIGH	651
SBR225	MODERATE	11172
SBR225	MODIFIER	13684
SBR225	LOW	13618
SBR227	HIGH	629
SBR227	MODERATE	11204
SBR227	MODIFIER	13633
SBR227	LOW	13594
SBR228X	HIGH	650
SBR228X	MODERATE	11128
SBR228X	MODIFIER	13764
SBR228X	LOW	13653
SBR229	HIGH	661
SBR229	MODERATE	11222
SBR229	MODIFIER	13894
SBR229	LOW	13752
SBR230	HIGH	653
SBR230	MODERATE	10966
SBR230	MODIFIER	13553
SBR230	LOW	13580
SBR233	HIGH	629
SBR233	MODERATE	11072
SBR233	MODIFIER	13421
SBR233	LOW	13630
SBR237	HIGH	592
SBR237	MODERATE	11080
SBR237	MODIFIER	12446
SBR237	LOW	12682
SBR238	HIGH	587
SBR238	MODERATE	11295
SBR238	MODIFIER	12419
SBR238	LOW	12909
SBR239	HIGH	644
SBR239	MODERATE	11109
SBR239	MODIFIER	13527
SBR239	LOW	13586
SBR240	HIGH	576
SBR240	MODERATE	10978
SBR240	MODIFIER	13534
SBR240	LOW	13460
