EXPTYPE	SAMPLE	TYPE	COUNT
wes	SBR286	LOW	13604
wes	SBR287	HIGH	642
wes	SBR287	MODERATE	11160
wes	SBR287	MODIFIER	13628
wes	SBR287	LOW	13792
ces	SCH00404	HIGH	139
ces	SCH00404	MODERATE	3051
ces	SCH00404	MODIFIER	944
ces	SCH00404	LOW	4384
ces	SCH00405	HIGH	122
ces	SCH00405	MODERATE	2911
ces	SCH00405	MODIFIER	942
ces	SCH00405	LOW	4205
ces	SCH00406	HIGH	146
ces	SCH00406	MODERATE	3086
ces	SCH00406	MODIFIER	966
ces	SCH00406	LOW	4407
wes	SCH00408	HIGH	691
wes	SCH00408	MODERATE	11549
wes	SCH00408	MODIFIER	13018
wes	SCH00408	LOW	13011
wes	SCH00409	HIGH	647
wes	SCH00409	MODERATE	11246
wes	SCH00409	MODIFIER	12972
wes	SCH00409	LOW	12856
wes	SCH00410	HIGH	582
wes	SCH00410	MODERATE	11261
wes	SCH00410	MODIFIER	12791
wes	SCH00410	LOW	12741
wes	SCH00411	HIGH	671
wes	SCH00411	MODERATE	11390
wes	SCH00411	MODIFIER	12704
wes	SCH00411	LOW	12909
wes	SCH00412	HIGH	658
wes	SCH00412	MODERATE	11429
wes	SCH00412	MODIFIER	12924
wes	SCH00412	LOW	12847
wes	SCH00413	HIGH	625
wes	SCH00413	MODERATE	11372
wes	SCH00413	MODIFIER	12823
wes	SCH00413	LOW	12814
wes	SCH00417	HIGH	614
wes	SCH00417	MODERATE	11166
wes	SCH00417	MODIFIER	12602
wes	SCH00417	LOW	12851
wes	SCH00418	HIGH	655
wes	SCH00418	MODERATE	11028
wes	SCH00418	MODIFIER	12593
wes	SCH00418	LOW	12650
wes	SCH00419	HIGH	663
wes	SCH00419	MODERATE	11292
wes	SCH00419	MODIFIER	12671
wes	SCH00419	LOW	12787
wes	SCH00420	HIGH	640
wes	SCH00420	MODERATE	11177
wes	SCH00420	MODIFIER	12597
wes	SCH00420	LOW	12770
wes	SCH00421	HIGH	574
wes	SCH00421	MODERATE	11236
wes	SCH00421	MODIFIER	12475
wes	SCH00421	LOW	12650
wes	SCH00422	HIGH	579
wes	SCH00422	MODERATE	11208
wes	SCH00422	MODIFIER	12504
wes	SCH00422	LOW	12815
wes	SCH00423	HIGH	597
wes	SCH00423	MODERATE	11075
wes	SCH00423	MODIFIER	12342
wes	SCH00423	LOW	12873
wes	SCH00424	HIGH	631
wes	SCH00424	MODERATE	11344
wes	SCH00424	MODIFIER	12761
wes	SCH00424	LOW	12662
ces	SCH00425	HIGH	137
ces	SCH00425	MODERATE	3055
ces	SCH00425	MODIFIER	892
ces	SCH00425	LOW	4363
wes	SCH00426	HIGH	587
wes	SCH00426	MODERATE	11106
wes	SCH00426	MODIFIER	12409
wes	SCH00426	LOW	12703
wes	SCH00427	HIGH	662
wes	SCH00427	MODERATE	11138
wes	SCH00427	MODIFIER	13748
wes	SCH00427	LOW	13597
wes	SCH00428	HIGH	602
wes	SCH00428	MODERATE	10955
wes	SCH00428	MODIFIER	13515
wes	SCH00428	LOW	13511
wes	SCH00429	HIGH	627
wes	SCH00429	MODERATE	11012
wes	SCH00429	MODIFIER	13684
wes	SCH00429	LOW	13587
wes	SCH00430	HIGH	605
wes	SCH00430	MODERATE	11137
wes	SCH00430	MODIFIER	13644
wes	SCH00430	LOW	13674
wes	SCH00431	HIGH	605
wes	SCH00431	MODERATE	11016
wes	SCH00431	MODIFIER	13612
